,編號,日期,課程,遊戲規則,知識點說明,專案問題,專案連結
,13,2025.12.14,教育版初階班_L13,自動考雞，自動鐵巨人農場,"1.讓 Agent 自動幫我們：放雞 點火 等雞烤熟 被漏斗搜集到箱子
2.過程像這樣：Agent 走到雞的位置 放生雞 等一段時間 雞被烤熟
3.讓 Agent：自動放好「召喚鐵巨人」的材料 鐵巨人掉進岩漿!
4.for + while 迴圈應用","1.為什麼雞沒熟？ 等待時間不夠
2.鐵巨人怎麼被召喚？要用：4 個鐵塊（T 字形）+ 1 個南瓜（最後放）
","    minecraft教育版
Chef.    iron_golem"
,14,2025.12.14,教育版初階班_L14,認識鐵路系統，雲霄飛車,"礦車不能在地上跑，一定要放在 鐵軌上 才會動。
普通礦車 ：可以坐人或載生物 常用來移動
箱子礦車 ：自己會動的箱子可以運送物品
漏斗礦車 ：會跑來跑去、自己撿東西的小吸塵器
TNT 礦車 ：碰撞或通電會爆炸 常用在陷阱或挖礦
普通鐵軌 ：可轉彎 只能讓礦車滑行 不會推礦車
動力鐵軌 :有電 ->加速 沒電 ->減速 （需要紅石電力）
偵測器鐵軌 :礦車經過就輸出紅石訊號 ","1.礦車怎麼動？ 礦車可以靠：推一下 下坡滑行 動力鐵軌（通電）
2.礦車和紅石的關係
  紅石可以控制：動力鐵軌開或關 礦車停或走 可以做： 自動收物系統 定點停車站
3.什麼是鐵軌？礦車專用的道路
礦車經過會發出紅石訊號的是？ 感測鐵軌",minecraft教育版
,15,2025.12.14,教育版初階班_L15,總複習!,"1. 記次迴圈（for） 重複做固定次數 例：走 5 步、放 10 個方塊 知道「做幾次」就用它
2. 判斷迴圈（while） 條件成立就一直做 例：一直撿物品直到沒有  不知道做幾次就用它
3. 變數: 用途： 記錄次數 記分 控制流程
4.如果（if） 成立 -> 做 不成立 ->  跳過
邏輯        
AND        全部都要        兩個拉桿都開，門才開
OR.           有一個就好        任一按鈕就能開燈
NOT        反過來        有電燈關，沒電燈亮
","1.Agent 會不會自己想事情？ 不會，要人寫程式
2.想讓 Agent 一直做同一件事，要用什麼？ 迴圈
3.會自己吸東西的礦車是？ 漏斗礦車
4.想知道箱子裡有沒有東西，用哪個？  比較器
5.想讓紅石訊號跑更遠，要用哪個？ 中繼器","minecraft教育版
pool.    diving"
,16,2025.12.28,教育版進階班_L1,自動化甘蔗農場,"1.礦車像小火車 可以在鐵軌上跑
2.漏斗像磁鐵一樣  可以把掉在地上的東西吸進來
3.漏斗礦車 => 在下面跑來跑去 把掉下來的物品「吸走」 再把物品送進箱子
4.偵測器: 臉（有眼睛）這一面要「對著你要看的東西」,  紅點點（輸出）這一面會送出紅石訊號
    (放反了就看不到東西喔!!!!)
","1. 什麼是自動甘蔗農場？ 在 麥塊裡，甘蔗會自己長高，我們只要把它「自動收集起來」，就可以一直拿來做：
     書, 紙, 交（村民） 不用一直站在旁邊收割，這就叫「自動農場」
2.自動甘蔗農場怎麼運作？
     1）甘蔗怎麼種？ 甘蔗要種在 水旁邊 會一直往上長（最多 3 格高）
     2）為什麼會自動掉下來？ 在甘蔗第 3 格高度放一個活塞當甘蔗長高被偵測器偵測到活塞一推 甘蔗掉到地上
    3）甘蔗一掉下來漏斗礦車就馬上吸進去",進階班
,17,2025.12.31,教育版進階班_L2,Agent 偵測數量 => 判斷密碼 => 觸發開門幾關,"1.Agent 功能：偵測物品、移動、與機關互動
2.物品槽：接收玩家放入的物品
3.密碼驗證：將物品數量與預設值進行比對
4.操作流程
    放入物品 => Agent 偵測 => 數量判斷 => 執行對應動作
5.數學規律探索 : 建立「層數－邊長」對照表（ex：14、12、10、 8 ... ）
   遞回規律為：邊長 = 起始值 − 2 × 層數。 14 = 14 - 2 * 0, 12 = 14 - 2 * 1, 10 = 14 - 2 * 2 .....","1.如果玩家放對物品後，Agent 沒有清空物品槽，下一個玩家會發生什麼問題？
    A:狀態沒有被重置 ，第一個人進去後，東西還留在箱子裡

2. 為什麼每層要少 2？
    A:左邊少一格 右邊少一格 =>一層就少 2 格！ 如果只少 1 格， 金字塔會變得又高又瘦

3.如果密碼是「10 個物品」，但程式寫成「物品 ≠ 10」，玩家放 9 個或 11 個，會發生什麼？
  A:門會打開！（而且是錯的!)  [≠ 10] 的意思是：只要不是 10，都算對!!    (規則整個寫反了)","進階班
pyramid.      password"
,18,2025.12.31,教育版進階班_L3,認識音符方塊，製作自動門,"1. 音符方塊的聲音會根據下面的方塊種類改變：
土系        鼓（Bass Drum）        土、草、粘土
木系        木琴（Bass）        木頭、樹幹
石系        鼓（Snare Drum）        石頭、砂岩、黑曜石
玻璃 / 光滑方塊        鈴聲（Bell）        玻璃、冰
金屬系        鐘聲（Flute / Chime）        石磚、鐵塊
水下 / 沙子        吉他（Guitar / Harp）        沙、紅砂、水下方塊
2. 音符方塊 + 紅石中繼器可以做曲子！！
3.簡譜：1 2 3 4 5 6 7 = Do Re Mi Fa So La Si
4.參考資料：https://minecraft.fandom.com/wiki/Note_Block","1.如果你想讓旋律「叮 - 咚 - 叮」每個音符之間有一樣的時間，你要怎麼用紅石中繼器？
 A:每個音符方塊之間都放 一樣延遲的紅石中繼器

2.如果第一個音符方塊的聲音不對，你要怎麼改？
 A:點擊音符方塊調音，或者換下面的方塊改音色

3.如果紅石中繼器延遲時間變長，旋律會怎樣？
  A:旋律會變慢，每個音符間隔更久

4.如果你按了按鈕，3 個音符方塊一起發出聲音，結果聽起來亂亂的，你該怎麼做？
  A:調整紅石中繼器的延遲，讓音符依序發聲",進階班
,19,2026.1.1,教育版進階班_L4,agent利用演算法走迷宮,"1. agent走迷宮方法： 
    （看前面 前面有路就左轉 左邊有路就右轉、再右轉  最後往前走一步）
        只要一直照這樣做  就一定走得出迷宮！終點判斷：前方不是黑曜石時持續前進
2. 看到什麼，就做什麼 小機器人會做三件事：
  1)看前面
  2)看旁邊
  3)決定要轉哪裡.         他不會記得走過哪裡， 只看「現在看到什麼」。
3. agent走路時， 會一直靠著牆邊走。就像人在真的迷宮裡： (用手摸牆，一直走，就不會迷路)
4.延伸可以學習演算法","1. agent在迷宮裡，他只靠牆壁走迷宮，不記得自己走過哪裡。為什麼agent 一直靠著牆走，也可以找到出口呢？
  A:因為牆壁一直連著，沿著牆走就不會迷路，最後一定會走到出口。

2.agent走迷規則：前面有路 => 往前. 左邊有路 => 左轉  右邊有路 => 右轉. 都沒有 => 回頭
  如果前面有路，它還會先去左邊嗎？
   A:不會，它會先往前走，因為前面有路是它的第一優先。
3.如果你要挖一個螺旋迷宮，每條邊長 2  => 3 => 4，並且每完成一條邊就左轉一次。
    你挖完第一層後，下一層的邊長應該是多少？
    A:下一層的邊長是 3，然後再變 4、5，依次增加。","進階班
snail.   maze.     arrow"
,20,2026.1.1,教育版進階班_L5,認識麥塊藥水釀造系統,"1. 水瓶 + 地獄疣 (Nether Wart) → 粗糙藥水 (Awkward Potion) => 所有高級藥水的基礎
2.螢石粉         黏稠藥水        提升效果等級
  紅石粉        平凡藥水        延長持續時間
  發酵蜘蛛眼. 虛弱藥水        腐化效果（具體用法見下文）
  火藥        飛濺藥水        將普通藥水變為飛濺藥水
  糖        加速        
  兔子腳        跳躍提升
  鑲金西瓜片        立即治療        
  龍之吐息 滯留藥水 （加入飛濺藥水時）        將飛濺藥水變為滯留藥水
參考資料：https://minecraft.fandom.com/wiki/Brewing
3.詳細讀釀造機使用手冊！！","1. 問：如果紅石燈亮了，拉桿是開還是關？
答：開

2. 釀造前，水瓶要先進釀造台，拉桿是開還是關？
答：關（紅燈暗）

3.釀藥水時，哪個階段放 地獄疣？
答：第1階段 => 釀粗糙藥水

4治療藥水可以用紅石延長時間嗎？
答：不能，因為它是瞬間效果
",進階班
,21,2026.1.2,教育版進階班_L6,"crop_circle
學習使用 Agent 偵測方塊並自動做事情
","1.讓agent「看得到方塊，自己做事」
2.教agent「想一想再行動」(學會如果……不然……（如果-否則）)
3.讓agent「一直做、不停算」(用巢狀迴圈，重複動作又會數數)
4.Agent 可以 偵測六個方向的方塊： 前、後、左、右、上、下
每一種方塊都有自己的編號 Agent 看到編號，就知道是什麼方塊。 Agent 可以聽指令 移動位置：
往前走 往後走 左轉 右轉
5.使用「如果－否則」讓 Agent 變聰明 Agent 不只會走，還會 先判斷再行動。
條件判斷（如果－否則） 如果 Agent 偵測到指定的方塊 -> 就做對應的動作
                                        否則（不是指定方塊）-> 就做另一個動作
 (這樣 Agent 就不會亂做事，而是會自己思考)
6.巢狀迴圈幫助 Agent 走遍整個區域 當區域很大時，不能一格一格控制 Agent。
巢狀迴圈是什麼？ 外層迴圈：控制走幾排 內層迴圈：控制一排走幾格
這樣 Agent 就能： 自己計算位置 一次完成整片麥田的任務","1.在麥田圈複製任務中，Agent 主要偵測哪一個方向的方塊？
 A: 下方的方塊。

2.為什麼要使用巢狀迴圈來控制 Agent？
 A:因為可以讓 Agent 重複走很多格，並走完整個區域。

3.為什麼不能只用一個迴圈，就完成整片麥田的移動？
A:因為只用一個迴圈只能控制單一方向的重複動作，無法換行走到下一排。","進階班
crop_circle. scanner"
,22,2026.1.7,教育版進階班_L7,Minecraft 狩獵小遊戲,"1. 事件驅動程式設計 （用聊天來控制遊戲） 遊戲會聽你的話！
2. 變數與計分機制（遊戲裡的小本子） 程式裡有幾個重要的小本子 score（分數)  time (時間) weapon（武器編號）
3.遊戲流程控制（遊戲規則） 遊戲有固定的規則和步驟：
4.生物生成與互動（讓動物出現） 程式會自己變出怪物讓你打！
5. 你輸入指令 → 遊戲開始 →生成動物 → 程式顯示標題和倒數計時 →你打動物得到分數 →時間到 → 顯示總分！
6.Minecraft 小遊戲製作精華：
  。 訊息積木可以對不同玩家說話，像：@p 最近的玩家、@a 所有人、@r 隨機一人，用來顯示標題和遊戲提示。
  。文字積木能把文字連起來，還可以把數字變成看得懂的文字。
  。 程式用變數記住分數、時間和武器編號。
  。透過聊天指令 onChat 開始遊戲，動物被打倒時 onMobKilled 幫你加分。
  。 用迴圈和條件判斷控制流程：倒數計時、生成生物、時間到就結束。
  。 Agent 會發武器、切換模式，並在玩家位置生成動物讓你挑戰。","1.時間倒數可以用什麼迴圈？
A：用 while 迴圈一直減少時間。

2.：遊戲中的 score 用來做什麼？
A：用來記住你打動物得到的「分數」。

3. Q3：如果沒有放 pause(1000) 延遲1000 ms，計時器會變成怎樣？
A： 倒數會跑得超級快，一下子就結束。

4.為什麼牛打倒後加的分數比雞多？如果要讓豬加分最多，要改哪裡？
A：因為不同動物在程式裡設定的分數不一樣，只要把「豬的分數數字」改大就可以。

5.如果想新增一個打倒後會「扣分」的怪物，要怎麼做？
A： 在擊殺事件裡，幫那個怪物設定 負的分數就行了。"," 進階班
hunter"
,23,2026.1.7,教育版進階班_L8,自動化換裝裝置,"1.Minecraft 附魔系統 在 Minecraft 裡，附魔就是幫工具加上魔法能力！
你可以把劍、鎬子、盔甲、弓箭拿去附魔
附魔後，它們會變得更厲害、更好用
 怎麼附魔？ 做一個 附魔（Enchantment Table） 放上幾本 書櫃在旁邊 準備好 青金石和一些經驗值 把工具放進去，就能選！
參考資料：https://minecraft.fandom.com/wiki/Enchanting

2.換裝展示間的原理
先用比較器來檢查投擲器裡面有沒有東西。如果裡面有物品，比較器就會輸出紅石能量，讓前面的黏性活塞把方塊往前推出去。
當活塞推出方塊後，旁邊的觀察者會偵測到這個變化。
觀察者一看到方塊被移動，就會跟著發出紅石能量。
這股能量經過中繼器傳到電路的另一邊，觸發投擲器開始動作，不停把裡面的物品丟出來。
因為方塊被反覆充能，電路就會形成連續閃動的效果，就像一個自動按鈕的連閃器。
只要投擲器裡還有東西，連閃器就會一直運作；
當裡面的物品全部用完後，比較器就不再輸出能量，整個電路也會自動停止。
簡單來說就是：
有物品時，電路會讓活塞和投擲器一起動作；
沒有物品時，展示間的連閃效果就會停下來。","1. 在換裝展示間電路中，比較器最主要的功能是什麼？
A: 比較器的功能是偵測投擲器裡面是否還有物品，只有在有物品時才會輸出紅石能量，讓展示間開始運作。

2.為什麼投擲器會一直丟出物品，直到投擲器裡沒有東西？
A:因為活塞推出方塊會觸發觀察者發出紅石能量，能量會透過中繼器充能方塊傳回投擲器，形成連閃電路。只要投擲器裡還有物品，這個電路就會一直運作；物品用完後，電路就停止了。

3.附魔劍可以做什麼特別事情？
A：可以讓劍打怪更痛、讓怪物著火，或讓怪物掉更多寶物。",進階班
,24,2026.1.8,教育版進階班_L9,運用機器拳學習 陣列以及函式,"1.「陣列」？  想像一排「置物櫃」
    假設你有一排置物櫃，每個櫃子都可以放一個東西： [🍎] [🍌] [🍇] [🍓]  這一整排櫃子，就叫做 陣列。
    重點：位置從 0 開始數！(額外補充)

2.「函式」？  想像一台「機器」 你丟東西進去 → 機器幫你做事 → 吐出結果
     例如：  果汁機      放水果進去 -> 按按鈕 -> 變成果汁 這台果汁機，就是 函式
     函式在做什麼？ 幫你做一件事 可以一直重複用 不用每次都重寫
  
陣列是什麼？
      一排盒子
      每個盒子有編號
      可以放很多東西
 函式是什麼？
     做事情的小幫手
     丟資料進去
     拿結果出來","1. 為什麼要用函式？
 A: 因為可以幫忙做事情，而且可以一直重複用，不用每次都重寫。

2.如果我想存「全班的成績」，用陣列好不好？
A: 好，因為成績是同一種資料，而且有很多個。

3.陣列和函式誰比較「聰明」？
A: 函式（因為它會做事情）。

4.用函式包裝「顯示輸贏」有什麼益處？
A：不用重複寫一樣的積木，改結果只要改函式裡面的內容！"," 進階班
paper_cut_stone.  must_lose"
,25,2026.1.8,教育版進階班_L10,Minecraft 指令方塊的基礎操作,"1.位置系統（在世界的哪裡）世界就像一張大地圖
在 Minecraft 裡，每個地方都有一個「地址」，就像你家有門牌號碼一樣。
 絕對位置（固定地址）就是「一定不會變的地方」不管你站在哪，這個位置都一樣
          絕對位置就像「學校的地址」
 相對位置（從我這裡算）
         不是說真正的地址 是「從我站的地方，往前或往上走幾格」
         相對位置就像「從你現在站的地方，走 3 步」
絕對位置：固定不變
相對位置：跟著你的位置一起變

2.指令在做什麼？
 重生點設置（復活的地方）
可以設定「你死掉後會出現在哪」 就像設定「重生基地」
重生點就是「我復活時出現的家」

3.標題顯示（畫面大字）
可以在畫面中間顯示大字像是「任務開始」「恭喜過關」
標題就像「遊戲裡跳出來的大字公告」

4. 指令方塊
是一種會「自己執行指令」的方塊很適合做機關或地圖
指令方塊就像「會自動做事情的機器」
 
5.進階應用（變得更酷）
彩色文字
文字可以變顏色讓提示、公告更清楚
彩色字就是「讓重要的話變亮、變顯眼」

 目標選擇（要對誰做）
在遊戲裡，下指令時要說清楚「是誰」
@s：我自己
@p：離我最近的人
@a：所有玩家
@e：所有東西（人、動物、怪物）
","1.絕對位置」比較像下面哪一個？
  A. 學校的地址
  B. 從你這裡走 3 步
A: A

2.標題顯示會出現在畫面的哪裡？
A: 畫面中間。

3.「~ ~5 ~」代表什麼意思？
A:從現在站的地方，往上 5 格。 「Y軸+5格高處」

4.小紅設計一張冒險地圖，她希望：每次有玩家進到地圖時，螢幕中間都會出現「歡迎來到冒險關卡！」，
還要文字是綠色。 請問，她要用哪個指令，目標要設定給誰？
A:用 /title @a title §a歡迎來到冒險關卡！，目標是 所有玩家（@a）。

5.小明輸入 /spawnpoint @p X Y Z 設置重生點，但遊戲顯示「無效座標」。可能是什麼原因？
 A: 他還沒有把 X、Y、Z 換成真正數字；
"," 進階班
"
,26,2026.1.12,教育版進階班_L11,文字指令應用,"「說話指令」 /say  &&  /tellraw
/say 指令（大聲說話 📣）
就像是「廣播」-> 所有玩家都看得到

/tellraw 指令（漂亮說話 ）
 是「進階版說話指令」
它可以： 指定誰看到, 文字有顏色, 文字可以變粗體、斜體, 看起來很像遊戲提示訊息

文字顏色與格式 §（章節符號）

效果               寫法
粗體                §l
斜體                §o
底線                §n
刪除線            §m","1.哪一個指令可以「讓所有玩家都看到」訊息？
A. /tellraw @p
B. /say
C. /tellraw @p
Ans：B /say 是廣播，所有玩家都看得到。

2.哪一個指令可以讓文字有顏色？
A. /say
B. /tellraw
C. /time set
Ans：B

3.§l 可以讓文字變粗體?
Ans:對

實作題
寫出一個指令
讓「自己」看到 金色＋粗體 的「你好」  §6§l
"," 進階班
"
,27,2026.1.12,教育版進階班_L12,"紅石機關設計, 紅石密碼門","一、展示框密碼鎖
紅石能量有距離限制 能量走不夠遠 → 不會成功 能量走太遠 → 也會出問題 密碼一定要「剛剛好」
剛好到中繼器 不能碰到旁邊的紅石火把 
小於密碼 紅石能量不夠 到不了中繼器 石英磚不會充能 機關失敗
等於密碼 能量剛剛好 中繼器有收到 紅石火把不會熄滅 機關成功
大於密碼 能量太多 會讓紅石火把熄滅 活塞把石英磚收回 機關失敗

二、拉桿密碼門
紅石火把是「預設開門」火把亮 → 門打開 火把滅 → 門關閉
紅石火把會被紅石訊號關掉 後方紅石有能量 紅石火把就會熄滅
密碼錯誤 有拉錯拉桿 後方紅石有訊號 紅石火把熄滅 門不會開
密碼正確 只拉對的拉桿 後方紅石沒有訊號 紅石火把保持點亮 門會打開","1.如果密碼是 2，但你只轉到 1，會發生什麼事？
A. 石英磚會亮
B. 能量不夠，機關不會動
C. 活塞會推出來
Ans：B

2. 如果想把展示框密碼從2改成4，需要調整哪些部分？
Ans：增加紅石線路長度，調整中繼器位置，確保第4轉時能量剛好觸發

3.紅石火把其實是一種「反向開關」?
Ans: yes 有訊號時熄滅，沒訊號時點亮。"," 進階班
"
,28,2026.1.13,教育版進階班_L13,遊戲系統的設計與實作說明(生成npc),"1. /tp 指令（瞬間移動）
可以把 /tp 想成「瞬間傳送門」 不用走路，一下子就到別的地方！
基本用法 /tp 你要移動的人 目的地
把自己傳送到朋友旁邊 /tp @p Steve
把自己傳送到指定位置 /tp @p 100 64 200
把所有人傳送到老師身邊 /tp @a 老師名字

2./kill 指令（讓角色消失）
可以把 /kill 想成「立刻回重生點」不是壞事，是快速重來！
基本用法 /kill 目標
讓自己回重生點 /kill @s
讓最近的人回重生點 /kill @p
讓世界裡的怪物消失（老師常用） /kill @e[type=zombie]
","1. 如果你想「立刻到朋友旁邊」，應該用哪一個指令？
A. /kill @s
B. /tp @p 100 64 100
C. /tp @p 朋友名字
Ans：C /tp 是傳送，朋友名字是目的地

2.卡在山洞裡出不來，想快速回到重生點，可以用哪個指令？
A. /tp @a 老師
B. /kill @s
C. /tp @s 0 0 0
Ans：B  /kill 會讓你立刻回重生點

3.下列哪一個是「只影響自己」的目標？
A. @a
B. @p
C. @s
Ans：C @s = 自己"," 進階班
"
